attendance_pct,study_hours,internal_marks,assignments_submitted,participation_score,passed
82.5,1.51,41.0,4,1,1
72.9,1.83,28.0,5,1,1
84.7,3.4,42.0,5,0,1
97.8,3.23,46.0,5,2,1
71.5,2.47,38.0,2,2,1
71.5,2.64,50.0,2,3,1
98.7,4.03,29.0,5,3,1
86.5,1.79,25.0,2,1,1
68.0,3.16,21.0,1,2,1
83.1,2.26,47.0,6,2,1
68.0,2.24,40.0,4,3,1
68.0,3.82,35.0,3,1,1
78.6,3.49,37.0,5,2,1
46.3,3.48,26.0,5,2,1
49.1,4.07,50.0,1,1,1
66.6,2.53,36.0,5,1,1
59.8,3.32,36.0,7,2,1
79.7,2.13,41.0,5,2,1
61.4,2.89,39.0,4,1,1
53.8,2.34,37.0,4,2,1
97.0,2.62,29.0,0,1,1
71.6,3.21,39.0,2,2,1
76.0,1.52,50.0,5,1,1
53.6,5.01,46.0,2,3,1
66.8,1.29,48.0,5,1,1
76.7,1.04,31.0,0,1,1
57.7,3.89,27.0,2,0,1
80.6,3.45,34.0,1,1,1
66.0,3.25,35.0,2,2,1
70.6,3.25,44.0,4,1,1
66.0,2.49,21.0,3,3,1
100.0,1.42,47.0,4,0,1
74.8,2.59,34.0,4,1,1
59.1,1.69,32.0,7,1,1
87.3,3.67,27.0,1,0,1
56.7,2.32,22.0,4,1,1
78.1,1.51,42.0,6,2,1
45.6,2.11,36.0,5,2,1
55.1,3.0,25.0,1,2,1
78.0,1.82,25.0,6,2,1
86.1,1.51,32.0,4,2,1
77.6,2.79,48.0,7,0,1
73.3,2.79,33.0,4,2,1
70.5,1.89,23.0,5,3,1
52.8,1.93,33.0,6,2,1
64.2,2.78,33.0,4,2,1
68.1,0.76,13.0,5,1,0
90.9,0.81,35.0,1,2,1
80.2,1.64,33.0,4,2,1
48.6,2.24,41.0,3,2,1
79.9,2.87,50.0,1,3,1
69.2,4.27,44.0,7,1,1
64.8,3.53,33.0,2,0,1
84.2,2.31,26.0,3,2,1
90.5,2.48,50.0,4,3,1
89.0,1.3,35.0,3,1,1
62.4,2.48,35.0,7,1,1
70.4,2.15,35.0,1,0,1
80.0,2.89,37.0,4,1,1
89.6,1.51,34.0,7,2,1
67.8,3.12,30.0,4,2,1
72.2,4.34,31.0,6,1,1
58.4,2.37,35.0,3,1,1
57.1,2.98,31.0,8,0,1
87.2,3.33,29.0,6,1,1
95.3,2.02,36.0,1,2,1
73.9,2.77,33.0,4,3,1
90.1,2.52,47.0,3,3,1
80.4,2.62,14.0,3,0,1
65.3,1.57,44.0,5,3,1
80.4,2.53,45.0,4,2,1
98.1,3.1,18.0,5,2,1
74.5,4.24,32.0,1,2,1
98.5,3.65,32.0,4,1,1
35.7,5.08,24.0,3,1,1
87.3,1.58,29.0,3,0,1
76.3,3.55,26.0,5,1,1
70.5,2.72,49.0,2,1,1
76.4,5.13,42.0,3,2,1
45.2,1.53,45.0,6,2,1
71.7,1.49,41.0,6,2,1
80.4,1.78,26.0,5,0,1
97.2,0.0,31.0,5,3,1
67.2,1.87,39.0,5,3,1
62.9,1.59,25.0,2,2,1
67.5,2.68,41.0,5,3,1
88.7,2.91,33.0,5,2,1
79.9,4.75,32.0,4,3,1
67.1,3.64,41.0,3,0,1
82.7,1.81,39.0,2,1,1
76.5,1.42,32.0,3,1,1
89.5,3.09,44.0,3,1,1
64.5,0.92,26.0,5,1,1
70.1,4.7,40.0,6,2,1
